name,kit_type,playtime,kills,deaths,damage_dealt,damage_received,flags_captured,flags_recovered,flags_stolen,drops,time_with_flag,hp_restored
arjaz,CHEMIST,1201.0,58.0,29.0,1832.467,2862.245,0.0,1.0,4.0,4.0,19.0,0.0
arjaz,CHEMIST,1168.0,54.0,30.0,1847.886,2771.175,0.0,0.0,9.0,10.0,91.0,0.0
arjaz,NINJA,32.0,0.0,1.0,106.31,57.0,0.0,0.0,0.0,0.0,0.0,0.0
aurailing,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aussi,HEAVY,1193.0,55.0,24.0,3257.771,2662.423,0.0,0.0,5.0,5.0,214.0,0.0
aussi,MEDIC,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aussi,HEAVY,1190.0,61.0,21.0,4734.97,2935.659,0.0,1.0,3.0,3.0,3.0,0.0
aussi,ELF,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aussi,HEAVY,140.0,4.0,2.0,263.763,219.965,0.0,1.0,2.0,2.0,3.0,0.0
aussi,SOLDIER,365.0,7.0,4.0,688.775,452.219,0.0,0.0,2.0,2.0,2.0,0.0
aussi,ASSASSIN,509.0,37.0,18.0,942.435,456.566,0.0,1.0,1.0,1.0,0.0,0.0
aussi,HEAVY,1037.0,18.0,26.0,2350.621,2292.101,0.0,0.0,1.0,1.0,1.0,0.0
aussi,HEAVY,868.0,33.0,22.0,2609.64,2128.295,0.0,0.0,0.0,0.0,0.0,0.0
aussi,SOLDIER,332.0,18.0,12.0,692.748,724.51,0.0,0.0,0.0,0.0,0.0,0.0
aussi,HEAVY,1201.0,49.0,25.0,5068.881,3254.941,0.0,2.0,5.0,5.0,24.0,0.0
aussi,HEAVY,952.0,44.0,19.0,3251.854,2754.857,0.0,0.0,4.0,4.0,41.0,0.0
aussi,ELF,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aussi,HEAVY,1138.0,79.0,22.0,2700.387,2573.866,2.0,0.0,7.0,6.0,113.0,0.0
azol,HEAVY,436.0,5.0,8.0,1988.922,1499.67,0.0,0.0,0.0,0.0,0.0,0.0
azol,NINJA,365.0,8.0,18.0,1215.204,518.5,0.0,1.0,0.0,0.0,0.0,0.0
azol,SOLDIER,248.0,2.0,3.0,347.526,256.94,0.0,2.0,0.0,0.0,0.0,0.0
azol,NINJA,206.0,5.0,11.0,655.591,242.0,0.0,1.0,0.0,0.0,0.0,0.0
azol,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azol,SOLDIER,994.0,23.0,14.0,2300.516,1406.76,0.0,2.0,0.0,0.0,0.0,0.0
azol,SOLDIER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azol,HEAVY,760.0,13.0,6.0,2367.55,1460.91,0.0,0.0,0.0,0.0,0.0,0.0
azol,NINJA,32.0,1.0,2.0,112.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
azol,MAGE,98.0,2.0,3.0,67.0,49.425,0.0,0.0,0.0,0.0,0.0,0.0
azol,CHEMIST,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azol,ENGINEER,90.0,3.0,1.0,51.32,21.0,0.0,0.0,0.0,0.0,0.0,0.0
azol,NINJA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azol,CHEMIST,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azol,MEDIC,602.0,1.0,2.0,307.685,247.671,2.0,1.0,0.0,0.0,7.0,1549.0
azol,HEAVY,85.0,3.0,1.0,188.989,115.5,0.0,0.0,0.0,0.0,0.0,0.0
azol,ENGINEER,77.0,0.0,1.0,146.5,141.249,0.0,0.0,0.0,0.0,0.0,0.0
b0squet,HEAVY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0squet,ARCHER,1198.0,30.0,25.0,930.827,1390.413,0.0,0.0,0.0,0.0,0.0,0.0
b0squet,HEAVY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0squet,ARCHER,1198.0,30.0,25.0,930.827,1390.413,0.0,0.0,0.0,0.0,0.0,0.0
b0squet,ARCHER,1063.0,40.0,26.0,746.079,739.914,0.0,0.0,0.0,0.0,0.0,0.0
bar1234,HEAVY,231.0,3.0,7.0,356.84,587.159,0.0,0.0,1.0,1.0,0.0,0.0
bar1234,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bar1234,HEAVY,1048.0,9.0,4.0,550.459,2670.956,0.0,0.0,0.0,2.0,721.0,0.0
bar1234,ASSASSIN,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bar1234,ASSASSIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bar1234,MEDIC,896.0,20.0,31.0,1209.132,2874.079,0.0,0.0,4.0,4.0,19.0,255.0
bar1234,CHEMIST,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bar1234,HEAVY,241.0,8.0,8.0,485.457,768.91,0.0,0.0,1.0,1.0,6.0,0.0
bar1234,MEDIC,729.0,31.0,17.0,760.752,1901.416,0.0,1.0,2.0,2.0,8.0,391.0
bar1234,SCOUT,127.0,0.0,4.0,184.518,161.699,0.0,0.0,0.0,0.0,0.0,0.0
bar1234,NINJA,102.0,0.0,3.0,49.5,89.25,0.0,0.0,1.0,1.0,5.0,0.0
bar1234,NINJA,583.0,0.0,26.0,521.156,632.949,0.0,0.0,1.0,1.0,2.0,0.0
bar1234,MEDIC,252.0,5.0,8.0,191.399,836.528,0.0,0.0,1.0,1.0,0.0,102.0
bar1234,HEAVY,276.0,12.0,7.0,599.229,974.39,0.0,0.0,4.0,4.0,8.0,0.0
bar1234,ELF,88.0,0.0,3.0,85.0,241.173,0.0,0.0,0.0,0.0,0.0,0.0
bar1234,NINJA,79.0,3.0,1.0,114.741,60.099,0.0,0.0,0.0,0.0,0.0,0.0
bar1234,ELF,619.0,6.0,18.0,324.58,1191.259,0.0,0.0,4.0,4.0,18.0,0.0
bar1234,HEAVY,316.0,7.0,5.0,737.051,744.762,0.0,0.0,1.0,2.0,18.0,0.0
blackfurrykitty,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blackfurrykitty,CHEMIST,231.0,2.0,6.0,231.15,450.276,0.0,0.0,0.0,0.0,0.0,0.0
blackfurrykitty,CHEMIST,990.0,37.0,24.0,1982.526,2162.565,0.0,1.0,2.0,3.0,15.0,0.0
blackfurrykitty,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blackfurrykitty,CHEMIST,1052.0,17.0,10.0,1772.093,1248.459,0.0,0.0,0.0,0.0,0.0,0.0
blackfurrykitty,CHEMIST,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloomishly,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloomishly,SOLDIER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloomishly,MEDIC,1052.0,2.0,6.0,213.01,937.023,0.0,0.0,0.0,0.0,0.0,670.0
bloomishly,MEDIC,899.0,10.0,24.0,438.934,2538.943,0.0,0.0,0.0,0.0,0.0,513.0
bloomishly,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
